Datum,Banka,Fixace,Sazba (%),Zdroj,Odkaz
2026-02-01,"Česká spořitelna",1 rok,4.89,manual,hypoindex.cz/clanky/prehled-aktualnich-sazeb-hypotek-po-ctvrt-roce-je-na-trhu-opet-hypoteka-pod-4/
2026-02-01,"Česká spořitelna",3 roky,4.59,manual,hypoindex.cz/clanky/prehled-aktualnich-sazeb-hypotek-po-ctvrt-roce-je-na-trhu-opet-hypoteka-pod-4/
2026-02-01,"Česká spořitelna",5 let,4.79,manual,hypoindex.cz/clanky/prehled-aktualnich-sazeb-hypotek-po-ctvrt-roce-je-na-trhu-opet-hypoteka-pod-4/
2026-02-01,"ČSOB",1 rok,4.79,manual,hypoindex.cz/clanky/prehled-aktualnich-sazeb-hypotek-po-ctvrt-roce-je-na-trhu-opet-hypoteka-pod-4/
2026-02-01,"ČSOB",3 roky,4.79,manual,hypoindex.cz/clanky/prehled-aktualnich-sazeb-hypotek-po-ctvrt-roce-je-na-trhu-opet-hypoteka-pod-4/
2026-02-01,"ČSOB",5 let,4.99,manual,hypoindex.cz/clanky/prehled-aktualnich-sazeb-hypotek-po-ctvrt-roce-je-na-trhu-opet-hypoteka-pod-4/
2026-02-01,"Komerční banka",1 rok,4.99,manual,hypoindex.cz/clanky/prehled-aktualnich-sazeb-hypotek-po-ctvrt-roce-je-na-trhu-opet-hypoteka-pod-4/
2026-02-01,"Komerční banka",3 roky,4.59,manual,hypoindex.cz/clanky/prehled-aktualnich-sazeb-hypotek-po-ctvrt-roce-je-na-trhu-opet-hypoteka-pod-4/
2026-02-01,"Komerční banka",5 let,4.99,manual,hypoindex.cz/clanky/prehled-aktualnich-sazeb-hypotek-po-ctvrt-roce-je-na-trhu-opet-hypoteka-pod-4/
2026-02-01,"Raiffeisenbank",1 rok,4.59,manual,hypoindex.cz/clanky/prehled-aktualnich-sazeb-hypotek-po-ctvrt-roce-je-na-trhu-opet-hypoteka-pod-4/
2026-02-01,"Raiffeisenbank",3 roky,4.34,manual,hypoindex.cz/clanky/prehled-aktualnich-sazeb-hypotek-po-ctvrt-roce-je-na-trhu-opet-hypoteka-pod-4/
2026-02-01,"Raiffeisenbank",5 let,4.49,manual,hypoindex.cz/clanky/prehled-aktualnich-sazeb-hypotek-po-ctvrt-roce-je-na-trhu-opet-hypoteka-pod-4/
2026-02-01,"Moneta",1 rok,3.99,manual,hypoindex.cz/clanky/prehled-aktualnich-sazeb-hypotek-po-ctvrt-roce-je-na-trhu-opet-hypoteka-pod-4/
2026-02-01,"Moneta",3 roky,3.99,manual,hypoindex.cz/clanky/prehled-aktualnich-sazeb-hypotek-po-ctvrt-roce-je-na-trhu-opet-hypoteka-pod-4/
2026-02-01,"Moneta",5 let,4.29,manual,hypoindex.cz/clanky/prehled-aktualnich-sazeb-hypotek-po-ctvrt-roce-je-na-trhu-opet-hypoteka-pod-4/